host_since,neighbourhood,city,accommodates,price
02/03/2014,Popincourt,Paris,2,75
10/09/2015,Buttes-Montmartre,Paris,2,35
19/07/2014,Gobelins,Paris,2,90
10/10/2013,Vaugirard,Paris,2,68
26/10/2013,Batignolles-Monceau,Paris,2,85
03/10/2013,Opera,Paris,2,55
15/08/2012,Temple,Paris,2,60
02/07/2014,Popincourt,Paris,2,38
13/10/2014,Opera,Paris,2,106
18/04/2013,Buttes-Chaumont,Paris,2,50
31/01/2014,Popincourt,Paris,2,90
21/05/2014,Batignolles-Monceau,Paris,2,110
04/02/2016,Vaugirard,Paris,2,80
18/04/2014,Buttes-Montmartre,Paris,2,104
15/03/2015,Buttes-Chaumont,Paris,2,165
06/12/2016,Vaugirard,Paris,2,55
06/07/2013,Batignolles-Monceau,Paris,2,70
31/05/2015,Temple,Paris,2,110
26/03/2016,Buttes-Montmartre,Paris,2,110
31/05/2017,Louvre,Paris,2,60
08/02/2013,Vaugirard,Paris,2,120
08/03/2013,Popincourt,Paris,2,70
06/05/2014,Menilmontant,Paris,2,50
29/06/2015,Buttes-Montmartre,Paris,2,70
14/12/2014,Vaugirard,Paris,2,75
30/03/2016,Buttes-Montmartre,Paris,2,80
11/07/2016,Passy,Paris,2,150
06/04/2015,Popincourt,Paris,2,100
24/09/2013,Luxembourg,Paris,2,85
21/02/2015,Buttes-Montmartre,Paris,2,90
02/03/2014,Bourse,Paris,2,70
16/04/2015,Vaugirard,Paris,2,72
04/11/2018,Observatoire,Paris,2,150
13/06/2014,Opera,Paris,2,65
21/07/2013,Batignolles-Monceau,Paris,2,75
09/04/2012,Popincourt,Paris,2,100
21/10/2015,Enclos-St-Laurent,Paris,2,80
08/09/2015,Vaugirard,Paris,2,52
31/05/2017,Gobelins,Paris,2,50
11/04/2019,Reuilly,Paris,2,67
10/04/2019,Popincourt,Paris,2,113
19/12/2013,Buttes-Chaumont,Paris,2,75
07/02/2013,Buttes-Montmartre,Paris,2,60
15/05/2014,Vaugirard,Paris,2,150
27/07/2016,Observatoire,Paris,2,65
20/08/2015,Buttes-Chaumont,Paris,2,55
10/07/2013,Popincourt,Paris,2,90
17/02/2014,Palais-Bourbon,Paris,2,150
10/06/2013,Vaugirard,Paris,2,100
30/06/2015,Enclos-St-Laurent,Paris,2,100
23/02/2019,Gobelins,Paris,2,110
05/08/2013,Enclos-St-Laurent,Paris,2,85
05/03/2013,Enclos-St-Laurent,Paris,2,100
06/03/2017,Buttes-Montmartre,Paris,2,87
11/07/2013,Passy,Paris,2,160
03/11/2015,Buttes-Montmartre,Paris,2,110
25/05/2015,Popincourt,Paris,2,102
05/08/2016,Pantheon,Paris,2,95
12/01/2014,Menilmontant,Paris,2,80
29/02/2012,Louvre,Paris,2,111
23/01/2013,Batignolles-Monceau,Paris,2,80
21/07/2013,Louvre,Paris,2,130
27/10/2013,Opera,Paris,2,75
07/12/2011,Batignolles-Monceau,Paris,2,65
29/06/2014,Popincourt,Paris,2,50
02/12/2014,Gobelins,Paris,2,80
18/04/2015,Popincourt,Paris,2,60
17/05/2015,Palais-Bourbon,Paris,2,99
21/05/2015,Opera,Paris,2,90
12/06/2015,Buttes-Montmartre,Paris,2,60
10/07/2015,Buttes-Chaumont,Paris,2,105
07/01/2016,Luxembourg,Paris,2,105
30/05/2016,Popincourt,Paris,2,50
04/06/2014,Luxembourg,Paris,2,164
